"municipality_code","municipality_name","splag_percent_vaccinated","partition"
"208112","Nowa Ruda",49.3875,"prussian"
"208123","Radków",52.18,"prussian"
"208133","Stronie Śląskie",51.5,"prussian"
"208143","Szczytna",53.4142857142857,"prussian"
"209011","Chojnów",48.1,"prussian"
"209022","Chojnów",53.275,"prussian"
"209032","Krotoszyce",55.1,"prussian"
"209042","Kunice",54.7,"prussian"
"209052","Legnickie Pole",53.9428571428571,"prussian"
"209062","Miłkowice",54.2,"prussian"
"209073","Prochowice",52.9666666666667,"prussian"
"209082","Ruja",55.1,"prussian"
"210011","Lubań",51.9666666666667,"prussian"
"210021","Świeradów-Zdrój",51.7,"prussian"
"210033","Leśna",52.6166666666667,"prussian"
"210042","Lubań",51.8666666666667,"prussian"
"210053","Olszyna",51.5,"prussian"
"210062","Platerówka",53.38,"prussian"
"210072","Siekierczyn",51.76,"prussian"
"211011","Lubin",53.8,"prussian"
"211022","Lubin",52.3222222222222,"prussian"
"211032","Rudna",50.25,"prussian"
"211043","Ścinawa",51.56,"prussian"
"212013","Gryfów Śląski",51.0142857142857,"prussian"
"212023","Lubomierz",53.9333333333333,"prussian"
"212033","Lwówek Śląski",51.3428571428571,"prussian"
"212043","Mirsk",53.5333333333333,"prussian"
"212053","Wleń",52.2,"prussian"
"213012","Cieszków",55.225,"prussian"
"213022","Krośnice",53.7,"prussian"
"213033","Milicz",54.0090909090909,"prussian"
"214011","Oleśnica",53.4,"prussian"
"214023","Bierutów",54.34,"prussian"
"214032","Dobroszyce",55.62,"prussian"
"214042","Dziadowa Kłoda",53.8,"prussian"
"214053","Międzybórz",52.125,"prussian"
"214062","Oleśnica",57.8888888888889,"prussian"
"214073","Syców",51.7,"prussian"
"214083","Twardogóra",52.2,"prussian"
"215011","Oława",56.3,"prussian"
"215022","Domaniów",58.35,"prussian"
"215033","Jelcz-Laskowice",55.7428571428571,"prussian"
"215042","Oława",57.1875,"prussian"
"216013","Chocianów",51.3,"prussian"
"216022","Gaworzyce",52.7,"prussian"
"216032","Grębocice",51.84,"prussian"
"216043","Polkowice",51.6,"prussian"
"216053","Przemków",50.2,"prussian"
"216062","Radwanice",52.0833333333333,"prussian"
"217012","Borów",59.5666666666667,"prussian"
"217022","Kondratowice",53.5666666666667,"prussian"
"217032","Przeworno",53.44,"prussian"
"217043","Strzelin",53.6285714285714,"prussian"
"217053","Wiązów",53.3,"prussian"
"218012","Kostomłoty",57.8333333333333,"prussian"
"218022","Malczyce",53.76,"prussian"
"218032","Miękinia",60.9666666666667,"prussian"
"218043","Środa Śląska",54.4714285714286,"prussian"
"218052","Udanin",54.7666666666667,"prussian"
"219011","Świdnica",52.4,"prussian"
"219021","Świebodzice",53.7,"prussian"
"219032","Dobromierz",53.3833333333333,"prussian"
"219043","Jaworzyna Śląska",55.92,"prussian"
"219052","Marcinowice",53.2666666666667,"prussian"
"219063","Strzegom",52.95,"prussian"
"219072","Świdnica",53.1111111111111,"prussian"
"219083","Żarów",54.3285714285714,"prussian"
"220013","Oborniki Śląskie",59.2142857142857,"prussian"
"220023","Prusice",55.86,"prussian"
"220033","Trzebnica",58.4571428571428,"prussian"
"220042","Wisznia Mała",65.1,"prussian"
"220052","Zawonia",59.06,"prussian"
"220063","Żmigród",56.9333333333333,"prussian"
"221011","Boguszów-Gorce",58.16,"prussian"
"221021","Jedlina-Zdrój",54.3,"prussian"
"221031","Szczawno-Zdrój",54.7666666666667,"prussian"
"221042","Czarny Bór",55.55,"prussian"
"221053","Głuszyca",54.1,"prussian"
"221063","Mieroszów",55.4285714285714,"prussian"
"221072","Stare Bogaczowice",54.4625,"prussian"
"221082","Walim",52.15,"prussian"
"222013","Brzeg Dolny",57.425,"prussian"
"222022","Wińsko",51.3428571428571,"prussian"
"222033","Wołów",54.375,"prussian"
"223012","Czernica",61.7166666666667,"prussian"
"223022","Długołęka",60.0714285714286,"prussian"
"223032","Jordanów Śląski",58.24,"prussian"
"223043","Kąty Wrocławskie",61.5833333333333,"prussian"
"223052","Kobierzyce",62.2571428571429,"prussian"
"223062","Mietków",56.74,"prussian"
"223073","Sobótka",59.1,"prussian"
"223083","Siechnice",62.8333333333333,"prussian"
"223092","Żórawina",62.525,"prussian"
"224013","Bardo",50.08,"prussian"
"224022","Ciepłowody",53.52,"prussian"
"224032","Kamieniec Ząbkowicki",52.78,"prussian"
"224042","Stoszowice",50.9857142857143,"prussian"
"224053","Ząbkowice Śląskie",49.6714285714286,"prussian"
"224063","Ziębice",53.3,"prussian"
"224073","Złoty Stok",52.94,"prussian"
"225011","Zawidów",49.45,"prussian"
"225021","Zgorzelec",50.5,"prussian"
"225033","Bogatynia",50.5,"prussian"
"225043","Pieńsk",50.52,"prussian"
"225052","Sulików",53.275,"prussian"
"225063","Węgliniec",53.9428571428572,"prussian"
"225072","Zgorzelec",52.275,"prussian"
"226011","Wojcieszów",49.6,"prussian"
"226021","Złotoryja",54.2,"prussian"
"226032","Pielgrzymka",54.0666666666667,"prussian"
"226043","Świerzawa",52.7625,"prussian"
"226052","Zagrodno",52.75,"prussian"
"226062","Złotoryja",53.6375,"prussian"
"261011","Jelenia Góra",53.0166666666667,"prussian"
"262011","Legnica",55.775,"prussian"
"264011","Wrocław",63.5625,"prussian"
"265011","Wałbrzych",55.2625,"prussian"
"401011","Aleksandrów Kujawski",58.45,"prussian"
"401011","Aleksandrów Kujawski",58.45,"russian"
"401021","Ciechocinek",56.425,"russian"
"401031","Nieszawa",55.3,"russian"
"401042","Aleksandrów Kujawski",60.4125,"prussian"
"401042","Aleksandrów Kujawski",60.4125,"russian"
"401052","Bądkowo",57.7,"russian"
"401062","Koneck",57.85,"prussian"
"401062","Koneck",57.85,"russian"
"401072","Raciążek",58.3,"russian"
"401082","Waganiec",57.0833333333333,"russian"
"401092","Zakrzewo",60.1,"prussian"
"401092","Zakrzewo",60.1,"russian"
"402011","Brodnica",53.65,"prussian"
"402022","Bobrowo",54.9375,"prussian"
"402022","Bobrowo",54.9375,"russian"
"402032","Brodnica",55.7625,"prussian"
"402032","Brodnica",55.7625,"russian"
"402042","Brzozie",55.85,"prussian"
"402053","Górzno",56.625,"prussian"
"402053","Górzno",56.625,"russian"
"402062","Bartniczka",54.64,"prussian"
"402062","Bartniczka",54.64,"russian"
"402073","Jabłonowo Pomorskie",55.8,"prussian"
"402082","Osiek",53.125,"prussian"
"402082","Osiek",53.125,"russian"
"402092","Świedziebnia",54.3142857142857,"prussian"
"402092","Świedziebnia",54.3142857142857,"russian"
"402102","Zbiczno",52.5833333333333,"prussian"
"403012","Białe Błota",58.6333333333333,"prussian"
"403022","Dąbrowa Chełmińska",60.46,"prussian"
"403032","Dobrcz",61.05,"prussian"
"403043","Koronowo",57.5888888888889,"prussian"
"403052","Nowa Wieś Wielka",60.65,"prussian"
"403062","Osielsko",61.6333333333333,"prussian"
"403072","Sicienko",59.2,"prussian"
"403083","Solec Kujawski",60.8,"prussian"
"404011","Chełmno",56.1,"prussian"
"404022","Chełmno",57.8875,"prussian"
"404032","Kijewo Królewskie",55.5142857142857,"prussian"
"404042","Lisewo",54.55,"prussian"
"404052","Papowo Biskupie",56.575,"prussian"
"404062","Stolno",56.0142857142857,"prussian"
"404072","Unisław",57.4571428571429,"prussian"
"405011","Golub-Dobrzyń",53.9,"prussian"
"405022","Ciechocin",55.6833333333333,"prussian"
"405022","Ciechocin",55.6833333333333,"russian"
"405032","Golub-Dobrzyń",55.375,"prussian"
"405032","Golub-Dobrzyń",55.375,"russian"
"405043","Kowalewo Pomorskie",55.6142857142857,"prussian"
"405043","Kowalewo Pomorskie",55.6142857142857,"russian"
"405052","Radomin",53.725,"prussian"
"405052","Radomin",53.725,"russian"
"405062","Zbójno",55.2,"prussian"
"405062","Zbójno",55.2,"russian"
"406012","Grudziądz",53.72,"prussian"
"406022","Gruta",55.24,"prussian"
"406033","Łasin",51.7666666666667,"prussian"
"406043","Radzyń Chełmiński",55.3833333333333,"prussian"
"406052","Rogóźno",52.4666666666667,"prussian"
"406062","Świecie nad Osą",54.8166666666667,"prussian"
"407011","Inowrocław",58.95,"prussian"
"407022","Dąbrowa Biskupia",59.9714285714286,"prussian"
"407022","Dąbrowa Biskupia",59.9714285714286,"russian"
"407033","Gniewkowo",58.94,"prussian"
"407033","Gniewkowo",58.94,"russian"
"407042","Inowrocław",59.6222222222222,"prussian"
"407053","Janikowo",56.34,"prussian"
"407063","Kruszwica",58.7625,"prussian"
"407063","Kruszwica",58.7625,"russian"
"407073","Pakość",58.45,"prussian"
"407082","Rojewo",59.6166666666667,"prussian"
"407092","Złotniki Kujawskie",57.6666666666667,"prussian"
"408011","Lipno",48.3,"russian"
"408022","Bobrowniki",54.0285714285714,"russian"
"408032","Chrostkowo",52.05,"russian"
"408043","Dobrzyń nad Wisłą",52.8833333333333,"russian"
"408052","Kikół",53.575,"russian"
"408062","Lipno",53.7875,"russian"
"408073","Skępe",51.125,"russian"
"408082","Tłuchowo",50.78,"russian"
"408092","Wielgie",50.48,"russian"
"409012","Dąbrowa",57.9666666666667,"prussian"
"409022","Jeziora Wielkie",58.18,"prussian"
"409022","Jeziora Wielkie",58.18,"russian"
"409033","Mogilno",57.1,"prussian"
"409043","Strzelno",58.85,"prussian"
"410013","Kcynia",57.9285714285714,"prussian"
"410023","Mrocza",56.2,"prussian"
"410033","Nakło nad Notecią",57.7833333333333,"prussian"
"410042","Sadki",56.32,"prussian"
"410053","Szubin",57.82,"prussian"
"411011","Radziejów",59.6,"russian"
"411022","Bytoń",59.775,"russian"
"411032","Dobre",60.46,"prussian"
"411032","Dobre",60.46,"russian"
"411042","Osięciny",59.4375,"russian"
"411053","Piotrków Kujawski",59.7333333333333,"prussian"
"411053","Piotrków Kujawski",59.7333333333333,"russian"
"411062","Radziejów",63.2166666666667,"prussian"
"411062","Radziejów",63.2166666666667,"russian"
"411072","Topólka",57.8714285714286,"russian"
"412011","Rypin",51.2,"russian"
"412022","Brzuze",54.4833333333333,"russian"
"412032","Rogowo",53.2666666666667,"russian"
"412042","Rypin",55.0285714285714,"prussian"
"412042","Rypin",55.0285714285714,"russian"
"412052","Skrwilno",54.0285714285714,"russian"
"412062","Wąpielsk",53.1571428571429,"prussian"
"412062","Wąpielsk",53.1571428571429,"russian"
"413013","Kamień Krajeński",53.56,"prussian"
"413023","Sępólno Krajeńskie",53.2714285714286,"prussian"
"413032","Sośno",57.3333333333333,"prussian"
"413043","Więcbork",54.2666666666667,"prussian"
"414012","Bukowiec",56.42,"prussian"
"414022","Dragacz",54.2,"prussian"
"414032","Drzycim",55.8,"prussian"
"414042","Jeżewo",55.36,"prussian"
"414052","Lniano",54.96,"prussian"
"414063","Nowe",52.9857142857143,"prussian"
"414072","Osie",54.2714285714286,"prussian"
"414082","Pruszcz",56.825,"prussian"
"414093","Świecie",55.2142857142857,"prussian"
"414102","Świekatowo",55.4666666666667,"prussian"
"414112","Warlubie",55.54,"prussian"
"415011","Chełmża",53.9,"prussian"
"415022","Chełmża",56.9888888888889,"prussian"
"415032","Czernikowo",55.7777777777778,"russian"
"415042","Lubicz",59.45,"prussian"
"415042","Lubicz",59.45,"russian"
"415052","Łubianka",58.88,"prussian"
"415062","Łysomice",58.7,"prussian"
"415072","Obrowo",59.0666666666667,"prussian"
"415072","Obrowo",59.0666666666667,"russian"
"415082","Wielka Nieszawka",60.1333333333333,"prussian"
"415082","Wielka Nieszawka",60.1333333333333,"russian"
"415092","Zławieś Wielka",60.925,"prussian"
"416012","Cekcyn",55.0714285714286,"prussian"
"416022","Gostycyn",55.5285714285714,"prussian"
"416032","Kęsowo",56.04,"prussian"
"416042","Lubiewo",55.125,"prussian"
"416052","Śliwice",54.6166666666667,"prussian"
"416063","Tuchola",53,"prussian"
"417011","Wąbrzeźno",52.2,"prussian"
"417022","Dębowa Łąka",54.48,"prussian"
"417032","Książki",53.6166666666667,"prussian"
"417042","Płużnica",54.6166666666667,"prussian"
"417052","Ryńsk",55.9857142857143,"prussian"
"418011","Kowal",55.8,"russian"
"418022","Baruchowo",54.44,"russian"
"418032","Boniewo",55.5,"russian"
"418043","Brześć Kujawski",56.9333333333333,"russian"
"418052","Choceń",55.7833333333333,"russian"
"418063","Chodecz",53.3833333333333,"russian"
"418072","Fabianki",52.75,"russian"
"418083","Izbica Kujawska",54.65,"russian"
"418092","Kowal",57.1,"russian"
"418102","Lubanie",55.38,"russian"
"418113","Lubień Kujawski",52.9,"russian"
"418123","Lubraniec",56.3,"russian"
"418132","Włocławek",55.9,"russian"
"419013","Barcin",56.46,"prussian"
"419022","Gąsawa",56.8,"prussian"
"419033","Janowiec Wielkopolski",57.14,"prussian"
"419043","Łabiszyn",58.8833333333333,"prussian"
"419052","Rogowo",56.1428571428571,"prussian"
"419063","Żnin",56.17,"prussian"
"461011","Bydgoszcz",60.6777777777778,"prussian"
"462011","Grudziądz",53,"prussian"
"463011","Toruń",60.1,"prussian"
"464011","Włocławek",53.5333333333333,"russian"
"601011","Międzyrzec Podlaski",38.15,"russian"
"601021","Terespol",50.2,"russian"
"601032","Biała Podlaska",46.25,"russian"
"601042","Drelów",43.2875,"russian"
"601052","Janów Podlaski",47.025,"russian"
"601062","Kodeń",46.875,"russian"
"601072","Konstantynów",47.14,"russian"
"601082","Leśna Podlaska",45.8,"russian"
"601092","Łomazy",44.8,"russian"
"601102","Międzyrzec Podlaski",42.8125,"russian"
"601112","Piszczac",47.1,"russian"
"601122","Rokitno",47.75,"russian"
"601132","Rossosz",46.2333333333333,"russian"
"601142","Sławatycze",47.5,"russian"
"601152","Sosnówka",47.7,"russian"
"601162","Terespol",49.44,"russian"
"601172","Tuczna",48.85,"russian"
"601182","Wisznice",45.1714285714286,"russian"
"601192","Zalesie",46.475,"russian"
"602011","Biłgoraj",37.8,"russian"
"602022","Aleksandrów",39.98,"russian"
"602032","Biłgoraj",41.05,"russian"
"602042","Biszcza",40.45,"austrian"
"602042","Biszcza",40.45,"russian"
"602053","Frampol",38.475,"russian"
"602062","Goraj",41.36,"russian"
"602073","Józefów",43.6,"russian"
"602082","Księżpol",42.88,"russian"
"602092","Łukowa",41.9,"russian"
"602102","Obsza",45.8666666666667,"austrian"
"602102","Obsza",45.8666666666667,"russian"
"602112","Potok Górny",39.975,"austrian"
"602112","Potok Górny",39.975,"russian"
"602123","Tarnogród",42.0714285714286,"austrian"
"602123","Tarnogród",42.0714285714286,"russian"
"602132","Tereszpol",42.42,"russian"
"602142","Turobin",44,"russian"
"603011","Rejowiec Fabryczny",42.7,"russian"
"603022","Białopole",49.65,"russian"
"603032","Chełm",45.4181818181818,"russian"
"603042","Dorohusk",46.64,"russian"
"603052","Dubienka",48.25,"russian"
"603062","Kamień",47.3,"russian"
"603072","Leśniowice",45.5833333333333,"russian"
"603082","Rejowiec Fabryczny",47.2333333333333,"russian"
"603092","Ruda-Huta",44.375,"russian"
"603102","Sawin",47,"russian"
"603113","Siedliszcze",43.2375,"russian"
"603122","Wierzbica",44.0333333333333,"russian"
"603132","Wojsławice",48.0833333333333,"russian"
"603142","Żmudź",47.9333333333333,"russian"
"603153","Rejowiec",45.5428571428571,"russian"
"604011","Hrubieszów",50.6,"russian"
"604022","Dołhobyczów",48.0666666666667,"austrian"
"604022","Dołhobyczów",48.0666666666667,"russian"
"604032","Horodło",50.9,"russian"
"604042","Hrubieszów",51.3285714285714,"russian"
"604052","Mircze",49.9,"russian"
"604062","Trzeszczany",48.68,"russian"
"604072","Uchanie",48.82,"russian"
"604082","Werbkowice",49.98,"russian"
"605012","Batorz",42.46,"russian"
"605022","Chrzanów",40.24,"russian"
"605032","Dzwola",40.4833333333333,"russian"
"605042","Godziszów",43.1333333333333,"russian"
"605053","Janów Lubelski",37.2571428571429,"austrian"
"605053","Janów Lubelski",37.2571428571429,"russian"
"605063","Modliborzyce",40.7,"austrian"
"605063","Modliborzyce",40.7,"russian"
"605072","Potok Wielki",42.46,"austrian"
"605072","Potok Wielki",42.46,"russian"
"606011","Krasnystaw",43.8,"russian"
"606022","Fajsławice",50.975,"russian"
"606032","Gorzków",49.4666666666667,"russian"
"606042","Izbica",48.1285714285714,"russian"
"606052","Krasnystaw",48.4714285714286,"russian"
"606062","Kraśniczyn",46.4285714285714,"russian"
"606072","Łopiennik Górny",47.4571428571429,"russian"
"606092","Rudnik",47.2666666666667,"russian"
"606102","Siennica Różana",47.2833333333333,"russian"
"606112","Żółkiewka",49.5,"russian"
"607011","Kraśnik",43.2666666666667,"russian"
"607023","Annopol",47.6714285714286,"austrian"
"607023","Annopol",47.6714285714286,"russian"
"607032","Dzierzkowice",45.2142857142857,"russian"
"607042","Gościeradów",44.62,"austrian"
"607042","Gościeradów",44.62,"russian"
"607052","Kraśnik",44.6,"russian"
"607062","Szastarka",43.0333333333333,"russian"
"607072","Trzydnik Duży",43.5,"russian"
"607083","Urzędów",45.6375,"russian"
"607092","Wilkołaz",44.2833333333333,"russian"
"607102","Zakrzówek",44.7428571428571,"russian"
"608011","Lubartów",35.95,"russian"
"608022","Abramów",48.1714285714286,"russian"
"608032","Firlej",40.4,"russian"
"608042","Jeziorzany",44.4166666666667,"russian"
"608052","Kamionka",44.9833333333333,"russian"
"608063","Kock",40.6875,"russian"
"608072","Lubartów",43.1,"russian"
"608082","Michów",43.1833333333333,"russian"
"608092","Niedźwiada",40.5666666666667,"russian"
"608103","Ostrów Lubelski",41.3166666666667,"russian"
"608112","Ostrówek",39.4,"russian"
"608122","Serniki",42.98,"russian"
"608132","Uścimów",44.1,"russian"
"609013","Bełżyce",49.6333333333333,"russian"
"609022","Borzechów",46.9,"russian"
"609033","Bychawa",45.8333333333333,"russian"
"609042","Garbów",48.8666666666667,"russian"
"609052","Głusk",51.3142857142857,"russian"
"609062","Jabłonna",50.62,"russian"
"609072","Jastków",53.7833333333333,"russian"
"609082","Konopnica",53.74,"russian"
"609092","Krzczonów",49.25,"russian"
"609102","Niedrzwica Duża",50.7285714285714,"russian"
"609112","Niemce",48.2285714285714,"russian"
"609122","Strzyżewice",47.1,"russian"
"609132","Wojciechów",53.6666666666667,"russian"
"609142","Wólka",52,"russian"
"609152","Wysokie",48.52,"russian"
"609162","Zakrzew",42.7285714285714,"russian"
"610012","Cyców",41.84,"russian"
"610022","Ludwin",43.35,"russian"
"610033","Łęczna",44.1333333333333,"russian"
"610042","Milejów",46.4666666666667,"russian"
"610052","Puchaczów",42.16,"russian"
"610062","Spiczyn",42.2571428571429,"russian"
"611011","Łuków",35.5,"russian"
"611021","Stoczek Łukowski",41.8,"russian"
"611032","Adamów",42.8,"russian"
"611042","Krzywda",43.3666666666667,"russian"
"611052","Łuków",39.7727272727273,"russian"
"611062","Serokomla",40.28,"russian"
"611072","Stanin",40.22,"russian"
"611082","Stoczek Łukowski",47.0125,"russian"
"611092","Trzebieszów",37.1,"russian"
"611102","Wojcieszków",39.1375,"russian"
"611112","Wola Mysłowska",44.2833333333333,"russian"
"612012","Chodel",48.72,"russian"
"612023","Józefów nad Wisłą",46.9142857142857,"russian"
"612032","Karczmiska",51.3666666666667,"russian"
"612042","Łaziska",48.75,"russian"
"612053","Opole Lubelskie",47.4666666666667,"russian"
"612063","Poniatowa",50.3333333333333,"russian"
"612072","Wilków",48.3,"russian"
"613012","Dębowa Kłoda",48.9285714285714,"russian"
"613022","Jabłoń",46.12,"russian"
"613032","Milanów",45.5666666666667,"russian"
"613043","Parczew",40.9714285714286,"russian"
"613052","Podedwórze",47.7,"russian"
"613062","Siemień",43.15,"russian"
"613072","Sosnowica",43.62,"russian"
"614011","Puławy",54.85,"russian"
"614022","Baranów",49.26,"russian"
"614032","Janowiec",52.5,"russian"
"614043","Kazimierz Dolny",54.55,"russian"
"614052","Końskowola",54.55,"russian"
"614062","Kurów",51.9,"russian"
"614072","Markuszów",49.975,"russian"
"614083","Nałęczów",50.0666666666667,"russian"
"614092","Puławy",53.34,"russian"
"614102","Wąwolnica",52.8428571428571,"russian"
"614112","Żyrzyn",52.1142857142857,"russian"
"615011","Radzyń Podlaski",40.15,"russian"
"615022","Borki",38.4,"russian"
"615032","Czemierniki",41.1714285714286,"russian"
"615042","Kąkolewnica",38.06,"russian"
"615052","Komarówka Podlaska",44.8666666666667,"russian"
"615062","Radzyń Podlaski",41.375,"russian"
"615072","Ulan-Majorat",37.075,"russian"
"615082","Wohyń",40.1,"russian"
"616011","Dęblin",55.075,"russian"
"616022","Kłoczew",47.1833333333333,"russian"
"616032","Nowodwór",46.16,"russian"
"616043","Ryki",52.325,"russian"
"616052","Stężyca",53.7,"russian"
"616062","Ułęż",49.4666666666667,"russian"
"617011","Świdnik",52.825,"russian"
"617022","Mełgiew",50.15,"russian"
"617033","Piaski",49.125,"russian"
"617042","Rybczewice",50.6,"russian"
"617052","Trawniki",46.8833333333333,"russian"
"618011","Tomaszów Lubelski",44.8,"russian"
"618022","Bełżec",46.2,"austrian"
"618022","Bełżec",46.2,"russian"
"618032","Jarczów",45.45,"austrian"
"618032","Jarczów",45.45,"russian"
"618042","Krynice",45.9833333333333,"russian"
"618053","Lubycza Królewska",46.54,"austrian"
"618053","Lubycza Królewska",46.54,"russian"
"618063","Łaszczów",48.05,"austrian"
"618063","Łaszczów",48.05,"russian"
"618072","Rachanie",47.1142857142857,"russian"
"618082","Susiec",45.2833333333333,"austrian"
"618082","Susiec",45.2833333333333,"russian"
"618092","Tarnawatka",44.65,"russian"
"618102","Telatyn",49.5,"austrian"
"618102","Telatyn",49.5,"russian"
"618112","Tomaszów Lubelski",47.175,"austrian"
"618112","Tomaszów Lubelski",47.175,"russian"
"618123","Tyszowce",48.35,"russian"
"618132","Ulhówek",47.98,"austrian"
"618132","Ulhówek",47.98,"russian"
"619011","Włodawa",49.8,"russian"
"619022","Hanna",47.35,"russian"
"619032","Hańsk",48.2571428571429,"russian"
"619042","Stary Brus",48,"russian"
"619052","Urszulin",46.6166666666667,"russian"
"619062","Włodawa",51.64,"russian"
"619072","Wola Uhruska",46.725,"russian"
"619082","Wyryki",49.975,"russian"
"620012","Adamów",46.52,"russian"
"620022","Grabowiec",46.8,"russian"
"620032","Komarów-Osada",45.7166666666667,"russian"
"620043","Krasnobród",45.6142857142857,"russian"
"620052","Łabunie",46.12,"russian"
"620062","Miączyn",48.5666666666667,"russian"
"620072","Nielisz",46.8166666666667,"russian"
"620082","Radecznica",42,"russian"
"620092","Sitno",47.7142857142857,"russian"
"620102","Skierbieszów",46.8833333333333,"russian"
"620112","Stary Zamość",47.775,"russian"
"620122","Sułów",46.56,"russian"
"620133","Szczebrzeszyn",46.38,"russian"
"620142","Zamość",47.5444444444444,"russian"
"620153","Zwierzyniec",44,"russian"
"661011","Biała Podlaska",44.9,"russian"
"662011","Chełm",44.65,"russian"
"663011","Lublin",53.0142857142857,"russian"
"664011","Zamość",46.1,"russian"
"801011","Kostrzyn nad Odrą",53.52,"prussian"
"801022","Bogdaniec",57.32,"prussian"
"801032","Deszczno",58.0571428571428,"prussian"
"801042","Kłodawa",57.9166666666667,"prussian"
"801052","Lubiszyn",56,"prussian"
"801062","Santok",60.1857142857143,"prussian"
"801073","Witnica",55.7,"prussian"
"802011","Gubin",53.1,"prussian"
"802022","Bobrowice",57.54,"prussian"
"802032","Bytnica",58.6333333333333,"prussian"
"802042","Dąbie",61.34,"prussian"
"802052","Gubin",58.5714285714286,"prussian"
"802063","Krosno Odrzańskie",57.1666666666667,"prussian"
"802072","Maszewo",57.52,"prussian"
"803012","Bledzew",60.75,"prussian"
"803023","Międzyrzecz",60.4142857142857,"prussian"
"803032","Przytoczna",59.94,"prussian"
"803042","Pszczew",60.56,"prussian"
"803053","Skwierzyna",58.0833333333333,"prussian"
"803063","Trzciel",58.0428571428571,"prussian"
"804011","Nowa Sól",54.4,"prussian"
"804023","Bytom Odrzański",54.4,"prussian"
"804032","Kolsko",56.78,"prussian"
"804043","Kożuchów",56.225,"prussian"
"804052","Nowa Sól",55.3333333333333,"prussian"
"804063","Nowe Miasteczko",53.96,"prussian"
"804073","Otyń",59.1666666666667,"prussian"
"804082","Siedlisko",55.2,"prussian"
"805013","Cybinka",60.3,"prussian"
"805022","Górzyca",62.2,"prussian"
"805033","Ośno Lubuskie",59.5166666666667,"prussian"
"805043","Rzepin",60.48,"prussian"
"805053","Słubice",61.4,"prussian"
"806013","Dobiegniew",58.1857142857143,"prussian"
"806023","Drezdenko",58.7444444444444,"prussian"
"806032","Stare Kurowo",59.025,"prussian"
"806043","Strzelce Krajeńskie",58.3,"prussian"
"806052","Zwierzyn",58.15,"prussian"
"807012","Krzeszyce",57.2857142857143,"prussian"
"807023","Lubniewice",59.625,"prussian"
"807032","Słońsk",58.32,"prussian"
"807043","Sulęcin",57.975,"prussian"
"807053","Torzym",59.6,"prussian"
"808012","Lubrza",60.52,"prussian"
"808022","Łagów",59.6,"prussian"
"808032","Skąpe",59.0333333333333,"prussian"
"808042","Szczaniec",59.74,"prussian"
"808053","Świebodzin",59.05,"prussian"
"808063","Zbąszynek",56.175,"prussian"
"809013","Babimost",56.35,"prussian"
"809022","Bojadła",55.9833333333333,"prussian"
"809033","Czerwieńsk",60.7571428571429,"prussian"
"809043","Kargowa",57.2285714285714,"prussian"
"809053","Nowogród Bobrzański",58.52,"prussian"
"809063","Sulechów",59.5222222222222,"prussian"
"809072","Świdnica",60.3,"prussian"
"809082","Trzebiechów",58.925,"prussian"
