municipality_code,municipality_name,county_code,percent_vaccinated,population_total,population_total_m,population_total_f,area_km2,population_density,urbanization_rate,healthcare_advices,population_per_pharmacy,installations_watersupply,installations_toilet,installations_bathroom,installations_central_heating,installations_network_gas,appartment_area_per_person,appartments_per_1000_persons,persons_per_appartment,persons_per_room,persons_per_library,library_books_per_1000_persons,library_readers_per_1000_persons,library_loans_per_reader,forests_area,unemployed_total,unemployed_f,unemployed_m,unemployed_up_to_25,unemployed_over_50,unemployed_long_term,unemployment_rate,unemployment_rate_m,unemployment_rate_f,bicycle_paths_per_100km2,bicycle_paths_per_10k_persons,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,expenditures_per_capita,investment_expenditures_per_capita,children_3_5_in_kindergartens,net_scholarization,marriages_per_1000_persons,birthrate_per_1000_persons,net_migrations_per_1000_persons,persons_running_business,entities_registered_per_10k_persons,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,percent_population_below_25,percent_population_25_60,percent_population_over_60
202052,Dzierżoniów,202000,45.7,9243,4588,4655,141,65.5,0.0,,9243,96.5,92.7,90.2,76.1,26.9,32.7,354.0,2.82,0.65,924,5031,138,12.9,99.76,199,84,115,24,66,69,3.6,3.8,3.4,0.35,0.54,5137.55,723.36,3.39,4423.1,528.03,519.0,66.53,4.0,-6.34,-1.9,746,1025,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,24.797143784485556,57.3623282484042,15.665909336795414
202062,Łagiewniki,202000,52.6,7287,3586,3701,125,58.4,0.0,37543.0,3644,96.2,95.0,92.6,78.9,0.3,30.5,326.5,3.06,0.68,1822,3297,100,10.3,38.34,125,69,56,6,37,50,2.8,2.4,3.4,3.61,6.18,6016.02,746.06,17.09,4838.1,442.99,731.0,84.6,2.7,-2.06,-1.1,475,833,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,25.470015095375327,56.895841910251136,15.658021133525457
202073,Niemcza,202000,47.8,5249,2587,2662,72,73.0,53.7,28099.0,5249,98.6,96.3,94.5,75.3,56.4,28.0,390.7,2.56,0.7,1312,6834,121,23.6,59.65,128,59,69,17,41,47,4.1,4.1,4.1,5.01,6.86,5978.88,613.84,8.16,5008.45,822.14,748.0,84.57,2.8,-8.51,-2.5,325,1000,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,22.25185749666603,57.17279481806058,18.36540293389217
203011,Głogów,203000,60.7,64450,30895,33555,35,1835.7,100.0,304509.0,2930,98.3,98.0,97.9,95.1,88.9,24.3,414.9,2.41,0.69,16113,1545,117,16.6,29.2,1 565,1 008,557,173,345,791,4.3,2.9,5.9,68.36,3.72,5982.58,1269.49,115.4,5747.7,647.1,1023.0,103.59,4.0,-4.31,-8.2,4750,1022,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,23.33591931730023,54.844065166795964,20.380139643134214
203022,Głogów,203000,51.4,6933,3461,3472,85,81.8,0.0,,6933,98.7,98.0,94.7,71.0,28.2,34.9,329.6,3.03,0.63,3467,2355,13,13.3,128.0,182,120,62,27,43,99,4.3,2.7,6.2,0.47,0.58,5965.92,1338.95,17.73,6095.69,1093.91,487.0,61.83,4.2,-3.05,7.4,570,1004,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,29.309101399105725,57.11813067935958,12.433290062022213
203032,Jerzmanowa,203000,53.6,5439,2721,2718,63,85.9,0.0,11186.0,5439,98.5,97.6,97.2,82.6,37.7,37.5,321.2,3.11,0.61,2720,3549,72,12.0,77.0,120,85,35,17,27,60,3.6,2.0,5.3,0.0,0.0,11650.8,1559.96,3.54,12129.2,3812.8,720.0,77.95,3.5,-0.93,29.5,433,943,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,33.35171906600478,55.54329840044125,10.093767236624378
203042,Kotla,203000,52.1,4401,2210,2191,128,34.5,0.0,11451.0,4401,96.9,94.3,91.1,78.8,0.5,28.7,317.0,3.15,0.72,1467,5163,95,7.3,328.22,162,97,65,24,46,92,6.1,4.5,8.0,0.0,0.0,6699.16,848.81,28.16,5515.03,386.85,594.0,77.7,3.9,0.0,3.4,232,625,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,29.629629629629626,55.623721881390594,12.997046125880482
203052,Pęcław,203000,52.0,2136,1095,1041,64,33.2,0.0,6898.0,0,95.3,94.0,90.3,75.8,0.1,26.4,348.8,2.87,0.73,712,2602,54,18.6,29.18,89,55,34,19,17,57,6.9,4.7,9.8,0.0,0.0,5927.75,682.06,3.17,5490.98,478.68,537.0,66.51,2.3,-6.46,-9.2,84,585,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,28.83895131086142,55.57116104868914,13.623595505617978
203062,Żukowice,203000,57.5,3438,1747,1691,68,50.4,0.0,11653.0,3438,96.6,93.6,91.0,77.0,33.1,28.2,309.2,3.23,0.73,860,8411,151,11.9,121.9,114,69,45,11,30,68,5.4,3.9,7.4,0.0,0.0,8123.53,698.84,3.01,6286.91,840.09,595.0,87.3,3.8,-2.04,3.5,220,858,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32,28.15590459569517,56.68993600930774,13.525305410122165
204013,Góra,204000,53.1,19005,9370,9635,266,71.4,59.0,75457.0,3801,98.5,96.0,93.2,82.2,65.4,28.1,368.0,2.72,0.67,4751,2993,133,21.1,299.3,947,509,438,158,195,544,8.4,7.2,9.9,1.5,2.1,5732.77,676.56,53.44,5719.11,666.73,801.0,92.41,4.7,-5.35,-4.5,1424,1077,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0.0,25.656406208892395,55.327545382794,17.195474875032886
204022,Jemielno,204000,45.0,2826,1420,1406,124,22.8,0.0,3560.0,0,94.8,90.8,87.1,78.8,0.9,28.7,340.8,2.93,0.68,942,10342,79,19.1,174.37,164,92,72,16,35,110,9.9,7.8,12.4,0.56,2.48,6506.21,432.8,19.09,5654.96,489.68,549.0,73.19,3.5,-9.19,-8.1,133,676,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0.0,26.362349610757253,54.77707006369427,16.454352441613587
204032,Niechlów,204000,45.9,4632,2343,2289,151,30.7,0.0,13653.0,0,96.3,91.7,86.3,76.0,0.6,28.5,360.3,2.78,0.69,2316,8138,141,14.0,137.6,255,149,106,37,50,150,9.0,6.7,12.0,0.0,0.0,6072.3,524.89,23.9,5525.87,708.81,664.0,78.47,3.0,-3.0,-5.8,221,665,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0.0,25.885146804835923,56.80051813471503,14.810017271157166
204043,Wąsosz,204000,54.7,6913,3443,3470,197,35.1,37.8,34662.0,2304,96.5,91.4,87.3,78.5,18.0,29.8,363.2,2.75,0.67,3457,1264,60,16.3,353.0,347,207,140,48,86,189,8.5,6.2,11.1,0.0,0.0,5827.36,658.0,47.38,5667.79,624.1,646.0,83.18,2.9,-5.75,-8.3,525,968,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0.0,27.108346593374797,55.25820917112686,15.65167076522494
205011,Jawor,205000,55.8,21575,10329,11246,19,1147.6,100.0,133121.0,1961,99.6,97.9,97.1,83.5,94.9,26.6,412.1,2.43,0.68,10788,3546,125,15.4,,637,345,292,65,181,304,5.1,4.3,5.9,55.85,4.87,5636.65,949.17,93.79,6319.25,1983.29,1069.0,104.12,3.5,-7.09,-7.4,1969,1329,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,21.219003476245653,57.228273464658166,19.434530706836618
205023,Bolków,205000,50.6,9942,4904,5038,153,65.2,48.1,26179.0,3314,97.9,94.4,91.8,75.9,51.6,28.0,371.3,2.69,0.7,1420,3373,81,19.1,363.65,634,315,319,61,209,411,10.9,9.9,12.1,0.0,0.0,5978.79,575.63,5.21,5093.54,189.44,657.0,81.41,3.7,-4.8,-2.9,604,996,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,23.616978475155904,56.4172198752766,17.56185878092939
205032,Męcinka,205000,51.3,5068,2516,2552,148,34.3,0.0,21210.0,0,95.0,91.3,88.3,78.4,17.2,30.5,328.1,3.05,0.65,1267,7107,110,21.8,215.0,167,78,89,22,34,95,5.5,5.4,5.6,0.0,0.0,6951.03,741.13,32.64,5493.94,454.46,687.0,75.54,3.9,-3.75,1.4,348,854,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,27.841357537490136,56.07734806629834,14.029202841357538
205042,Mściwojów,205000,52.0,4053,2037,2016,72,56.3,0.0,18440.0,4053,99.3,97.2,95.3,83.1,0.3,28.8,339.3,2.95,0.7,2027,4712,45,13.3,79.0,156,99,57,24,31,79,6.5,4.3,9.2,0.0,0.0,5799.23,768.56,8.97,4631.24,524.36,331.0,68.85,2.2,-4.67,-4.7,279,906,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,26.94300518134715,56.13126079447323,14.779175919072292
205052,Paszowice,205000,52.1,4130,2079,2051,101,40.8,0.0,8019.0,0,98.7,97.3,95.6,79.2,34.6,30.3,317.4,3.15,0.69,1033,5189,153,19.9,21.0,161,83,78,28,33,94,6.3,5.6,7.2,0.0,0.0,5601.9,610.09,6.72,6143.61,1716.37,211.0,68.99,3.9,-2.69,11.0,333,981,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,26.368038740920095,58.35351089588377,13.656174334140436
205062,Wądroże Wielkie,205000,53.8,3858,1941,1917,89,43.3,0.0,13381.0,0,98.2,96.0,94.4,79.1,1.0,30.1,328.1,3.05,0.66,1929,7458,84,19.5,62.6,130,71,59,14,36,73,5.7,4.7,6.9,0.0,0.0,6218.04,812.47,3.56,5503.33,246.28,530.0,90.06,1.8,-6.69,-0.8,297,951,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12,26.257128045619492,55.23587350959046,15.889061689994815
206011,Karpacz,206000,64.0,4477,2064,2413,38,117.8,100.0,26438.0,1492,96.4,92.5,91.3,85.0,76.0,49.7,596.6,1.68,0.42,4477,7587,128,2.6,32.57,126,58,68,15,49,60,4.8,5.0,4.6,0.0,0.0,8504.95,1105.53,44.94,8678.63,1338.45,1108.0,140.59,4.0,-12.58,-3.8,822,8640,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,19.00826446280992,58.34264016082198,20.01340183158365
206021,Kowary,206000,51.3,10266,4848,5418,37,274.6,100.0,,2567,98.9,94.7,90.9,81.8,86.7,27.9,434.2,2.3,0.65,5133,2960,90,22.2,59.2,342,178,164,31,101,193,5.8,5.2,6.5,0.0,0.0,4983.79,819.13,34.85,4599.56,318.49,812.0,80.08,2.1,-8.59,-5.0,857,1322,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,20.61172803428794,56.13676212741087,20.689655172413794
206031,Piechowice,206000,56.4,5968,2865,3103,43,138.1,100.0,26036.0,2984,98.3,94.3,92.3,80.8,80.0,31.3,405.3,2.47,0.61,5968,1575,53,20.7,106.08,166,90,76,14,49,87,4.8,4.1,5.6,0.0,0.0,5346.98,982.55,16.37,5052.28,534.53,773.0,82.11,3.0,-8.99,-5.0,606,1399,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,21.280160857908847,56.35053619302949,20.123994638069707
206041,Szklarska Poręba,206000,54.6,5968,2808,3160,75,79.1,100.0,12019.0,1989,98.3,95.8,94.9,88.4,75.2,48.9,696.5,1.44,0.42,5968,8206,114,14.2,99.35,158,69,89,9,56,77,4.6,4.8,4.4,0.0,0.0,8323.07,936.13,24.69,9025.71,2459.91,844.0,80.65,2.5,-11.69,-0.8,907,2110,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,19.202412868632706,57.95911528150134,20.191018766756034
206052,Janowice Wielkie,206000,48.7,4136,2069,2067,58,71.5,0.0,,2068,96.9,95.4,92.0,74.8,0.5,32.5,358.6,2.79,0.66,1034,9240,147,21.7,176.57,149,71,78,8,52,93,6.0,5.8,6.4,0.0,0.0,5257.61,768.43,19.15,4622.2,91.26,542.0,69.23,3.9,-6.28,-1.7,393,1274,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,23.839458413926497,57.93036750483559,16.610251450676984
206062,Jeżów Sudecki,206000,51.1,7663,3732,3931,94,81.3,0.0,14707.0,7663,96.6,94.6,91.7,78.5,40.8,37.3,341.4,2.93,0.6,2554,3319,72,15.7,366.93,174,76,98,21,57,77,3.7,4.0,3.5,0.0,0.0,5186.03,1261.38,3.17,4708.77,671.46,455.0,61.09,2.9,-4.21,14.8,909,1361,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,26.53007960328853,57.627561007438345,14.498238287876811
206072,Mysłakowice,206000,52.4,9867,4819,5048,88,112.2,0.0,28009.0,4934,97.5,94.0,92.1,77.9,22.6,31.8,407.6,2.45,0.64,3289,2654,64,15.9,500.77,384,193,191,41,115,227,6.4,5.9,7.1,0.0,0.0,5309.75,888.93,15.16,4987.4,215.43,652.0,80.74,3.0,-6.66,-1.0,936,1156,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,23.796493361710752,58.15344076213641,16.2460727678119
206082,Podgórzyn,206000,54.0,8254,4021,4233,83,100.0,0.0,29741.0,8254,97.3,95.0,91.8,78.4,47.1,35.8,373.3,2.68,0.61,1651,3486,75,23.6,218.34,261,125,136,23,78,135,5.4,5.2,5.7,0.0,0.0,5859.38,900.27,14.19,5142.48,488.45,779.0,80.58,3.8,-6.68,9.1,925,1431,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,23.103949600193847,56.687666585897745,18.051853646716744
206092,Stara Kamienica,206000,55.5,5285,2604,2681,111,47.8,0.0,10623.0,5285,91.9,89.1,84.4,73.9,4.1,33.9,358.9,2.79,0.62,1762,5003,99,6.4,303.54,185,89,96,19,59,105,5.8,5.6,6.0,6.24,13.06,5670.2,683.64,9.74,5458.06,495.77,774.0,85.9,2.1,-6.06,3.8,489,1181,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15,24.3519394512772,57.824030274361405,16.234626300851467
207011,Kamienna Góra,207000,59.0,18073,8625,9448,18,1001.8,100.0,91543.0,3012,98.7,89.5,87.5,77.0,91.7,24.0,441.8,2.26,0.73,6024,3257,73,17.4,29.61,466,213,253,55,167,169,4.4,4.4,4.4,45.45,4.54,5322.16,828.27,41.34,5608.36,1186.44,903.0,99.3,3.3,-9.28,-5.6,1333,1291,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89,21.125435732861174,56.06152824655564,20.184806064294804
207022,Kamienna Góra,207000,56.8,8904,4442,4462,158,56.3,0.0,13168.0,0,98.1,94.9,91.2,81.6,14.8,29.0,332.3,3.01,0.72,2226,3536,160,10.3,193.13,218,96,122,27,81,69,4.0,4.1,3.8,0.0,0.0,5704.61,825.24,18.59,5392.82,699.51,518.0,74.94,3.4,-4.93,-1.5,763,1016,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89,27.33602875112309,57.4685534591195,13.522012578616351
207033,Lubawka,207000,58.8,10465,5113,5352,138,75.8,54.9,39016.0,10465,97.4,90.2,87.1,75.2,53.9,28.7,415.5,2.41,0.66,5233,2565,94,15.6,150.14,254,128,126,28,78,102,4.1,3.7,4.6,0.0,0.0,4702.18,689.15,33.33,4443.64,416.3,774.0,91.89,2.6,-5.81,-3.8,696,1016,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89,23.048256091734352,56.85618729096989,18.232202580028666
207042,Marciszów,207000,51.8,4375,2203,2172,82,53.6,0.0,12223.0,0,96.7,92.5,85.1,77.8,0.4,27.6,391.5,2.55,0.69,1458,7183,175,4.7,178.74,128,59,69,14,37,55,4.9,4.7,5.0,0.0,0.0,5249.09,606.8,9.29,4898.33,360.55,654.0,79.83,4.1,-1.82,-4.3,285,889,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89,24.251428571428573,56.98285714285715,16.57142857142857
208011,Duszniki-Zdrój,208000,55.4,4271,1977,2294,22,191.7,100.0,28143.0,2136,99.2,95.1,93.7,81.1,87.5,29.4,482.8,2.07,0.62,2136,7359,94,26.7,184.12,132,60,72,16,36,62,5.7,5.8,5.6,0.0,0.0,7388.6,909.69,20.94,6684.45,1174.1,867.0,91.17,1.6,-21.27,-8.1,412,1559,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,18.8948723952236,53.54717864668695,24.069304612502926
208021,Kłodzko,208000,57.4,25869,12087,13782,25,1041.4,100.0,179167.0,1848,99.2,96.7,94.5,84.2,90.5,29.0,458.3,2.18,0.64,8623,3910,112,16.7,30.0,935,437,498,74,234,468,6.3,6.4,6.3,16.1,1.55,5087.02,915.97,49.56,4908.45,557.84,1018.0,117.37,2.7,-9.49,-3.7,2455,1724,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,20.843480613862152,55.29011558235726,21.21071552823843
208031,Kudowa-Zdrój,208000,54.7,9666,4585,5081,34,285.1,100.0,26549.0,2417,98.4,96.3,93.9,81.1,75.5,30.0,426.5,2.34,0.64,9666,3769,82,22.7,152.59,322,155,167,26,98,162,5.8,5.6,6.1,9.44,3.31,5808.47,660.4,24.89,5647.81,913.62,996.0,99.07,2.9,-8.72,-1.7,858,1179,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,21.570453134698944,56.27974343058142,19.6772191185599
208041,Nowa Ruda,208000,54.2,21400,10253,11147,37,577.6,100.0,116660.0,1945,99.0,93.9,88.6,71.6,47.0,26.2,439.0,2.28,0.68,4280,5272,129,22.9,154.45,760,440,320,74,212,407,6.2,4.7,8.0,19.16,3.32,4709.9,814.29,32.91,4871.68,760.33,687.0,86.14,3.4,-10.93,-3.1,1472,1218,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,20.177570093457945,56.58411214953271,20.537383177570092
208051,Polanica-Zdrój,208000,61.8,6259,2844,3415,17,363.5,100.0,53669.0,1252,99.1,96.2,94.9,77.7,70.3,38.5,514.1,1.95,0.52,3130,6931,219,12.8,103.06,187,78,109,12,65,94,5.4,6.2,4.6,7.55,2.08,7293.82,1029.52,17.73,6583.93,1627.08,1214.0,119.17,2.5,-11.1,-1.7,722,1716,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,18.341588113117112,54.673270490493685,23.773765777280715
208063,Bystrzyca Kłodzka,208000,50.9,17947,8644,9303,339,53.0,52.6,99239.0,2991,98.3,91.3,88.5,72.3,48.8,31.8,444.1,2.25,0.62,2243,4811,114,20.0,1038.7,872,474,398,109,220,468,8.5,7.2,10.0,0.0,0.0,5838.76,698.27,29.01,5166.96,354.18,712.0,89.63,2.8,-9.57,-2.6,1257,1173,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,21.88109433331476,55.530172173622326,20.27636930963392
208072,Kłodzko,208000,51.3,16803,8277,8526,252,66.3,0.0,20066.0,16803,96.1,89.3,86.2,73.1,20.8,30.2,380.9,2.63,0.67,1293,5301,112,18.3,510.0,668,334,334,81,159,309,6.6,6.1,7.3,0.0,0.0,5665.31,694.6,8.25,5528.97,859.3,701.0,66.21,3.1,-7.81,3.8,1103,817,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,24.561090281497354,57.50758793072666,16.038802594774744
208083,Lądek-Zdrój,208000,52.1,7817,3735,4082,117,66.7,66.9,38698.0,3909,98.4,95.9,93.5,76.5,68.8,32.4,439.8,2.27,0.61,7817,1771,133,20.2,987.43,328,164,164,31,93,176,7.3,6.9,7.8,2.13,3.2,6196.98,711.07,8.66,5908.38,1096.6,621.0,76.59,3.2,-10.04,-1.8,755,1347,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,20.55775873097096,55.94217730587182,21.056671357298196
208092,Lewin Kłodzki,208000,52.8,1971,965,1006,52,37.8,0.0,24121.0,0,95.7,92.8,88.2,68.3,58.0,32.4,422.6,2.37,0.64,1971,5922,66,13.6,307.86,87,41,46,9,27,43,7.4,7.3,7.6,1.73,4.57,7477.26,503.53,0.78,7507.31,2647.86,641.0,84.57,2.5,-6.06,7.6,177,1350,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,25.164890918315574,57.28056823947235,15.880263825469305
208103,Międzylesie,208000,47.1,6956,3473,3483,189,36.9,35.9,28358.0,6956,97.5,92.2,88.3,71.7,32.9,33.8,408.9,2.45,0.63,1739,6136,119,28.4,676.6,348,183,165,39,104,206,8.5,7.3,10.1,0.0,0.0,5135.56,580.65,4.25,4938.95,387.46,630.0,87.63,2.0,-4.58,-1.6,367,835,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16,24.30994824611846,56.29672225416906,17.639447958596897
